Word,Adjective
inscrutable,incapable of being discovered or understood
shrill,sharp; piercing
prudence,careful forethought
cohort,a group or band of people
boorish,crude; rude
timorous,fearful timid afraid
imperturbable,calm not capable of being excited
arboreal,of connected with trees
rescind,repeal/annul/cancel
intersperse,place here and there
oblivious,unaware; having no memory
ignoble,not noble;   inferior
espouse,To take in marriage
sagacious,having sound judgment; perceptive; wise like a sage
nebulous,cloud-like; hazy; vague; indistinct
disseminate,distribute (esp. ideas)
bask,in enjoy warmth and light
heed,attention/give notice to
precarious,uncertain risky dangerous
incise,engrave; make a cut in
endearing,making dear or liked
ebullient,overflowing with enthusiasm showing excitement
inferno,hell
palpitate,tremble beat rapidly and irregularly
fluke,lucky; stroke
fluster,make nervous or confused
graze,touch or scrape lightly in passing
laudatory,expressing or giving praise
matriculation,be admitted enter a university as a student
susceptibility,sensitiveness
embellish,make beautiful
ominous,threatening
ostracism,shut out from society refuse to meet talk
divulge,make known something secret
pliant,easily bent
maverick,rebel; nonconformist
malapropism,misuse of a word (for one that resembles it)
quell,suppress subdue
extort,obtain by threats violence
cling,to resist separation
sidestep,step to one side
dubious,feeling doubt
irascible,irritable; easily angered
fidget,move restlessly make nervous
epitome,brief summary representative example a typical model
corroboration,additional strengthening evidence
garner,to gather and save to store up
ambrosial,extremely pleasing to taste
ferocity,savage cruelty
expurgate,to remove obscenity purify censor
cantankerous,bad-tempered/quarrelsome
arabesque,a complex ornate design
attune,bring into harmony
chaste,pure
efficacy,production of a desired result
rift,split crack dissension
palpability,can be felt or touched
veer,change direction
insensible,unconscious; unresponsive; unaffected
gourmand,a person who is devoted to eating and drinking to excess
plead,address a court of law as an advocate
morbid,diseased; unhealthy (e.g.. about ideas)
enmity,hatred being an enemy
